AA.P	Alcoa Inc Pf 3.75
AADR	Wcm Bny Focused Growth Adr ETF
AAU	Almaden Minerals
AAVX	Etracs Daily Short 1 Month S&P
ABCS	Guggenheim Abc High Dividend Et
ABI	Safety First Trust
ACCU	
ACU	Acme United Corporation.
ACWV	
ACY	Aerocentury
ADGE	American Dg Energy Inc.
ADK	Adcare Health Systems Inc
ADZ	DB Agriculture Short Etn
AE	Adams Resources & Energy
AEN	Adeona Pharmaceuticals
AFK	Market Vectors-Africa Index ETF
AGA	DB Agriculture Double Short Etn
AGEM	Egshares Gems Composite ETF
AGF	DB Agriculture Long Etn
AGG	Barclays Aggregate Bond Fund
AGLS	
AGOL	ETFs Asian Gold Trust Etv
AGQ	Ultra Silver
AGRG	Russell Aggressive Growth ETF
AGX	Argan
AGZ	Barclays Agency Bond Fund
AHB	Safety First Trust
AHY	Safety First Trust
AIA	S&P Asia 50
AIM	Aerosonic Corp.
AIS	Antares Pharma
AJB	Safety First Trust
AKE	Safety First Trust
AKN	Safety First Trust
ALD	Wisdomtree Asia Local Debt Fund
ALN	American Lorain Corp.
ALT	Diversified Alternatives Trust
ALUM	Global X Aluminum ETF
AMJ	JP Morgan Alerian Mlp Index
AMLP	Alerian Mlp ETF
AMM	Safety First Trust
AMS	American Shared Hospital Services
AND	Global X Ftse Andean 40 ETF
ANO	Anooraq Resources Corp.
ANV	Allied Nevada Gold Corp
ANX	Adventrx Pharmaceuticals
AOA	S&P Aggressive Allocation
AOK	S&P Conservative Allocation
AOM	S&P Moderate Allocation
AOR	S&P Growth Allocation
API	Advanced Photonix
APP	American Apparel Inc
APT	Alpha Pro Tech
APTS	Preferred Apartment Communities
AQQ	American Spectrum Realty
ARGT	Global X Ftse Argentina 20 ETF
ARR.W	Armour Residential Reit Inc. W
ASEA	Global X Ftse Asean 40 ETF
ASM	Avino Silver & Gold
ATA	Safety First Trust
ATC	Cycle Country Accessories Corp.
ATSC	Ats Corp.
AUD	
AUMN	Golden Minerals Co.
AUNZ	
AUSE	Wisdomtree Australia Dividend Fund
AVL	Avalon Rare Metals
AWX	Avalon Holdings Corp.
AXDI	MSCI Ex US Consumer Sector
AXEN	MSCI Ex US Energy Sector
AXHE	MSCI Ex US Health Care Sector
AXID	MSCI Ex US Industrials Sector
AXIT	MSCI Ex US Info Tech Sector
AXJL	Wisdomtree Asia-Pacific Ex-Japan Fund
AXK	Accelr8 Technology Corp.
AXMT	MSCI Ex US Materials Sector
AXN	China Aoxing Pharmaceutical Company
AXSL	Tmsci Ex US Consumer Staples Sector
AXTE	MSCI Ex US Telecom Services Sector
AXU	Alexco Resource Corp
AXUT	MSCI Ex US Utilities Sector
AYT	Barclays Gems Asia -8
AZC	Augusta Resource Corp.
AZK	Aurizon Mines
BAA	Banro Corp.
BAB	Build America Bond Portfolio
BABS	Nuveen Build America Bond ETF
BABZ	Pimco Build America Bond Fund ETF
BAL	DJ-UBS Cotton Tr Etn
BARL	Morgan Stanley S&P 500 Crude Oi
BARN	Global X Farming ETF
BBH	Market Vectors Biotech ETF
BBVX	Etracs Daily Short 2 Month S&P
BCM	Ipath Pure Beta Broad Commodity
BCV	Bancroft Convertible Fund
BDCL	2Xleveraged Long Exchange Trade
BDCS	UBS Ag Exchange Traded Access S
BDD	DB Base Metals Double Long Etn
BDG	DB Base Metals Long Etn
BDL	Flanigan's Enterprises
BDR	Blonder Tongue Laboratories
BFY	Blackrock New York Muni Trust Ii
BGU	Direxion Large Cap Bull 3X Shares
BGZ	Direxion Large Cap Bear 3X Shares
BHB	Bar Harbor Bankshares
BHV	Blackrock Virginia Muni Trust
BIK	S&P Bric 40
BIL	Barclays 1-3 Month T-Bill
BIR-A	Berkshire Rlty 9.00A
BIV	Vg Intermediate-Term Bond ETF
BJK	Gaming ETF
BKF	MSCI Bric
BKJ	Bancorp Of New Jersey Inc
BKLN	Powershares Exchange-Traded Fund Trust ETF
BKR	Baker [Michael] Corp.
BLD	Baldwin Technology Company
BLE	Blackrock Muni Income Trust Ii
BLJ	Blackrock New Jersey Muni Trust
BLNG	Ipath Pure Beta Precious Metal
BLV	Vg Long-Term Bond ETF
BMJ	Birks & Mayors Inc.
BND	Vg Total Bond Market ETF
BNO	US Brent Oil Fund Lp Etv
BOIL	
BOM	DB Base Metals Double Short Etn
BONE	Bacterin Intl Hldgs
BONO	Market Vectors Latam Aggregate
BOS	DB Base Metals Short Etn
BPS	Blackrock Pennsylvania Strategic Muni
BQY	S&P Quality Rankings Glbl Equ Mngd Tr
BRAF	Global X Brazil Financials ETF
BRAQ	Global X Brazil Consumer ETF
BRAZ	Global X Brazil Mid Cap ETF
BRD	Apollo Gold Corp.
BRF	Brazil Small-Cap ETF
BRIL	Direxion Daily Bric Bull 3X Shares
BRIS	Direxion Daily Bric Bear 3X Shares
BRN	Barnwell Industries
BRXX	Emerging Indxx Brazil Infrastructure
BSCC	Guggenheim Bulletshares 2012 ETF
BSCD	Guggenheim Bulletshares 2013 ETF
BSCE	Guggenheim Bulletshares 2014 ETF
BSCF	Guggenheim Bulletshares 2015 ETF
BSCG	Guggenheim Bulletshares 2016 ETF
BSCH	Guggenheim Bulletshares 2017 ETF
BSJC	Guggenheim 2012 High Yield ETF
BSJD	Guggenheim 2013 High Yield ETF
BSJE	Guggenheim 2014 High Yield ETF
BSJF	Guggenheim 2015 High Yield ETF
BSQ	Bank Of America Corp.
BSV	Vg Short-Term Bond ETF
BTAH	Quantshares U.S. Market Neutral High Beta Fund
BTAL	Quantshares U.S. Market Neutral
BTC	Community Bankers Trust Corporation.
BTI	British American Tobacco Industries
BTN	Ballantyne Strong Inc
BTX	Biotime
BUND	
BUNL	Powershares Db German Bund Futu
BUNT	Powershares Db 3X German Bund F
BVX	Bovie Medical Corp.
BWL.A	Bowl Amer Inc Cl A
BWV	CBOE S&P 500 Buywrite Etn
BWX	Barclays Intl Treasury Bond
BWZ	SPDR Short Term International Bond
BXDB	Short B Lev-Inv S&P 500 Tr Index
BXDC	Short C Lev-Inv S&P 500 Tr Index
BXUB	Long B Lev S&P 500 Tr Index
BXUC	Long C Lev S&P 500 Tr Index
BZC	Breeze-Eastern Corp.
BZF	Dreyfus Brazilian Real Fund
BZM	Blackrock Maryland Muni Trust
BZQ	Ultrashort Msci Brazil ETF
CAD	
CAFE	Ipath Pure Beta Coffee Etn
CAK	Camac Energy Inc.
CANE	
CAW	Cca Industries
CBND	SPDR Barclays Capital Issuer Scored Corp Bond Et
CBP	China Botanic Pharmaceutical Inc.
CCA	Mfs California Insured Muni Trust
CCF	Chase Corp.
CCVX	Etracs Daily Short 3 Month S&P
CCX	Dreyfus Commodity Currency
CCXE	Wisdomtree Commodity Country Equity Fund
CDK	Bank Of America Corp.
CDY	Cardero Resource Corp.
CEF	Central Fund Of Canada
CEP	Constellation Energy Partners Llc
CET	Central Securities Corp.
CEV	Eaton Vance California Muni Income Trust
CEW	Dreyfus Emerging Currency
CFD	Nuveen Diversified Commodity Fund
CFP	Cornerstone Progressive Return Fund
CFT	Barclays Credit Bond Fund
CGQ	Bank Of America Corp.
CGR	Claude Resources
CGW	Guggenheim S&P Global Water
CH	Aberdeen Chile Fund
CHEP	Quantshares U.S. Market Neutral
CHGS	China Gengsheng Minerals
CHIE	Global X China Energy ETF
CHII	Global X China Industrials ETF
CHIM	Global X China Materials ETF
CHIQ	Global X China Consumer ETF
CHIX	Global X China Financials ETF
CHOC	Ipath Pure Beta Cocoa Etn
CHXX	Emerging Indxx China Infrastructure
CIK	Credit Suisse Asset Management
CIU	Barclays Intermediate Credit Bond Fund
CIX	Compx International Inc.
CKX	Ckx Lands
CLM	Cornerstone Strategic Value Fund
CLY	10+ Year Credit Bond Fund
CMD	Ultrashort DJ-Aig Commodity
CMF	S&P Cali Muni Bond
CMFO	China Marine Food Group
CMT	Core Molding Technologies Inc
CNAM	China Armco Metals
CNDA	IQ Canada Small Cap ETF
CNGL	China Nutrifruit Group
CNPF	Global Canada Preferred ETF
CNR	China Metro-Rural Holdings
CNTR	Russell Contrarian ETF
CNY	Vectors Chinese Renminbi/Usd Etn
COLX	Market Vectors Colombia ETF
CONG	Russell Consistent Growth ETF
CONM	Conmed Healthcare Management
COPX	Global X Copper Miners ETF
CORN	Teucrium Corn Fund Etv
CORP	Pimco Investment Grade
COVR	Cover-All Technologies Inc
COW	DJ-UBS Livestock Tr Etn
COWL	Direxion Daily Agribusiness Bul
COWS	Direxion Daily Agribusiness Bea
CPER	
CPHI	China Pharma Holdings
CPI	IQ Real Return ETF
CQP	Cheniere Energy Partners Lp
CQQQ	Guggenheim China Technology ETF
CRBQ	CRB Global Commodity Equity
CRC	Chromcraft Revington
CRF	Cornerstone Strategic Return Fund
CRM.W	Salesforce.Com
CRMD	Cormedix Inc
CROP	IQ Global Agribusiness Small Ca
CRUD	Teucrium Crude Oil Fund Exchange Traded Fund
CRV	Coast Distribution System
CRVP	Crystal Rock Holdings
CSD	Guggenheim Spin-Off ETF
CSJ	Barclays 1-3 Year Credit Bond Fund
CSLS	Credit Suisse Long/Short Liquid Index ETF
CSM	Credit Suisse 130/30
CSMA	Credit Suisse Ag's Etn For Credit Suisse Merger
CSMB	Credit Suisse Exchange Trade No
CSMN	
CTNN	Ipath Pure Beta Cotton Etn
CTO	Consolidated-Tomoka Land Co.
CTP	Ctpartners Executive Search Inc.
CUO	Continental Materials Corp.
CUPM	Ipath Pure Beta Copper Etn
CUR	Neuralstem
CURE	Direxion Daily Healthcare Bull
CUT	Guggenheim Timber ETF
CVF	Bank Of America Corp.
CVM	Cel-Sci Corp.
CVOL	C-Tracks Etn Citi VIX Tr
CVR	Chicago Rivet & Machine Co.
CVRT	Powershares Convertible Secur
CVU	Cpi Aerostructures
CVY	Guggenheim Multi-Asset Income ETF
CWB	SPDR Convertible Bond ETF
CWI	SPDR Msci Acwi Ex-Us ETF
CXA	Nuveen California Muni Bond ETF
CXM	Cardium Therapeutics
CXZ	Crosshair Exploration & Mining Corp
CYB	Dreyfus Chinese Yuan Fund
CZA	Guggenheim Mid-Cap Core ETF
DAG	DB Agriculture Double Long Etn
DBA	DB Agriculture Fund
DBB	DB Base Metals Fund
DBBR	Db-X Msci Brazil Currency Hedge
DBC	DB Commodity Index Tracking Fund
DBCN	Db-X Msci Canada Currency Hedge
DBE	DB Energy Fund
DBEF	Db-X Msci Eafe Currency Hedged
DBEM	Db-X Msci Emerging Markets Curr
DBJP	Db-X Msci Japan Currency Hedged
DBO	DB Oil Fund
DBP	DB Precious Metals Fund
DBS	DB Silver Fund
DBU	Wisdomtree Global Ex-Us Utility Fund
DBV	DB G10 Currency Harvest Fund
DCNG	Ipath Seasonal Natural Gas Etn
DDG	Short Oil & Gas
DDM	Ultra Dow 30
DDP	DB Commodity Short Etn
DDVX	Etracs Daily Short 4 Month S&P
DEE	DB Commodity Double Short Etn
DEF	Guggenheim Defensive Equity ETF
DEFL	
DEJ	Dejour Enterprises Ltd
DEM	Emerging Markets High-Yield Fund
DENT	Dent Tactical ETF
DES	Trust Smallcap Dividend Fund
DEW	Europe High-Yielding Equity Fund
DFE	Europe Smallcap Dividend Fund
DFF	Bank Of America Corp.
DFJ	Japan Smallcap Fund
DFVS	Ipath US Treasury 5 Year Bear E
DGL	DB Gold Fund
DGLD	Velocityshares 3X Inverse Gold
DGP	DB Gold Double Long Etn
DGS	Emerging Market Smallcap Fund
DGSE	Dgse Companies
DGT	Streettracks Dow Jones Global Titans
DGZ	DB Gold Short Etn
DHS	High-Yielding Equity Fund
DHY	Credit Suisse High Yield Bond Fund
DIA	Diamonds Trust
DIG	Ultra Oil & Gas
DIM	International Midcap Dividend Fund
